Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Afghanistan,Scotland,Afghanistan,8 wickets,ICCA Dubai,8-Jan-15,ODI # 3572
Afghanistan,Ireland,Ireland,3 wickets,Dubai (DSC),10-Jan-15,ODI # 3573
New Zealand,Sri Lanka,New Zealand,3 wickets,Christchurch,11-Jan-15,ODI # 3574
Ireland,Scotland,Ireland,3 wickets,Dubai (DSC),12-Jan-15,ODI # 3575
Afghanistan,Scotland,Scotland,150 runs,Abu Dhabi,14-Jan-15,ODI # 3576
New Zealand,Sri Lanka,Sri Lanka,6 wickets,Hamilton,15-Jan-15,ODI # 3577
Australia,England,Australia,3 wickets,Sydney,16-Jan-15,ODI # 3578
South Africa,West Indies,South Africa,61 runs,Durban,16-Jan-15,ODI # 3579
New Zealand,Sri Lanka,no result,,Auckland,17-Jan-15,ODI # 3580
Afghanistan,Ireland,Afghanistan,71 runs,Dubai (DSC),17-Jan-15,ODI # 3581
Australia,India,Australia,4 wickets,Melbourne,18-Jan-15,ODI # 3582
South Africa,West Indies,South Africa,148 runs,Johannesburg,18-Jan-15,ODI # 3583
Ireland,Scotland,no result,,ICCA Dubai,19-Jan-15,ODI # 3584
New Zealand,Sri Lanka,New Zealand,4 wickets,Nelson,20-Jan-15,ODI # 3585
England,India,England,9 wickets,Brisbane,20-Jan-15,ODI # 3586
South Africa,West Indies,South Africa,9 wickets,East London,21-Jan-15,ODI # 3587
New Zealand,Sri Lanka,New Zealand,108 runs,Dunedin,23-Jan-15,ODI # 3588
Australia,England,Australia,3 wickets,Hobart,23-Jan-15,ODI # 3589
New Zealand,Sri Lanka,New Zealand,120 runs,Dunedin,25-Jan-15,ODI # 3590
South Africa,West Indies,West Indies,1 wicket,Port Elizabeth,25-Jan-15,ODI # 3591
Australia,India,no result,,Sydney,26-Jan-15,ODI # 3592
South Africa,West Indies,South Africa,131 runs,Centurion,28-Jan-15,ODI # 3593
New Zealand,Sri Lanka,Sri Lanka,34 runs,Wellington,29-Jan-15,ODI # 3594
England,India,England,3 wickets,Perth,30-Jan-15,ODI # 3595
New Zealand,Pakistan,New Zealand,7 wickets,Wellington,31-Jan-15,ODI # 3596
Australia,England,Australia,112 runs,Perth,1-Feb-15,ODI # 3597
New Zealand,Pakistan,New Zealand,119 runs,Napier,3-Feb-15,ODI # 3598
New Zealand,Sri Lanka,New Zealand,98 runs,Christchurch,14-Feb-15,ODI # 3599
Australia,England,Australia,111 runs,Melbourne,14-Feb-15,ODI # 3600
South Africa,Zimbabwe,South Africa,62 runs,Hamilton,15-Feb-15,ODI # 3601
India,Pakistan,India,76 runs,Adelaide,15-Feb-15,ODI # 3602
Ireland,West Indies,Ireland,4 wickets,Nelson,16-Feb-15,ODI # 3603
New Zealand,Scotland,New Zealand,3 wickets,Dunedin,17-Feb-15,ODI # 3604
Afghanistan,Bangladesh,Bangladesh,105 runs,Canberra,18-Feb-15,ODI # 3605
U.A.E.,Zimbabwe,Zimbabwe,4 wickets,Nelson,19-Feb-15,ODI # 3606
New Zealand,England,New Zealand,8 wickets,Wellington,20-Feb-15,ODI # 3607
Pakistan,West Indies,West Indies,150 runs,Christchurch,21-Feb-15,ODI # 3608
Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Dunedin,22-Feb-15,ODI # 3609
India,South Africa,India,130 runs,Melbourne,22-Feb-15,ODI # 3610
England,Scotland,England,119 runs,Christchurch,23-Feb-15,ODI # 3611
West Indies,Zimbabwe,West Indies,73 runs,Canberra,24-Feb-15,ODI # 3612
Ireland,U.A.E.,Ireland,2 wickets,Brisbane,25-Feb-15,ODI # 3613
Afghanistan,Scotland,Afghanistan,1 wicket,Dunedin,26-Feb-15,ODI # 3614
Bangladesh,Sri Lanka,Sri Lanka,92 runs,Melbourne,26-Feb-15,ODI # 3615
South Africa,West Indies,South Africa,257 runs,Sydney,27-Feb-15,ODI # 3616
New Zealand,Australia,New Zealand,1 wicket,Auckland,28-Feb-15,ODI # 3617
India,U.A.E.,India,9 wickets,Perth,28-Feb-15,ODI # 3618
England,Sri Lanka,Sri Lanka,9 wickets,Wellington,1-Mar-15,ODI # 3619
Pakistan,Zimbabwe,Pakistan,20 runs,Brisbane,1-Mar-15,ODI # 3620
Ireland,South Africa,South Africa,201 runs,Canberra,3-Mar-15,ODI # 3621
Pakistan,U.A.E.,Pakistan,129 runs,Napier,4-Mar-15,ODI # 3622
Australia,Afghanistan,Australia,275 runs,Perth,4-Mar-15,ODI # 3623
Bangladesh,Scotland,Bangladesh,6 wickets,Nelson,5-Mar-15,ODI # 3624
India,West Indies,India,4 wickets,Perth,6-Mar-15,ODI # 3625
Pakistan,South Africa,Pakistan,29 runs,Auckland,7-Mar-15,ODI # 3626
Ireland,Zimbabwe,Ireland,5 runs,Hobart,7-Mar-15,ODI # 3627
New Zealand,Afghanistan,New Zealand,6 wickets,Napier,8-Mar-15,ODI # 3628
Australia,Sri Lanka,Australia,64 runs,Sydney,8-Mar-15,ODI # 3629
Bangladesh,England,Bangladesh,15 runs,Adelaide,9-Mar-15,ODI # 3630
India,Ireland,India,8 wickets,Hamilton,10-Mar-15,ODI # 3631
Scotland,Sri Lanka,Sri Lanka,148 runs,Hobart,11-Mar-15,ODI # 3632
South Africa,U.A.E.,South Africa,146 runs,Wellington,12-Mar-15,ODI # 3633
New Zealand,Bangladesh,New Zealand,3 wickets,Hamilton,13-Mar-15,ODI # 3634
Afghanistan,England,England,9 wickets,Sydney,13-Mar-15,ODI # 3635
India,Zimbabwe,India,6 wickets,Auckland,14-Mar-15,ODI # 3636
Australia,Scotland,Australia,7 wickets,Hobart,14-Mar-15,ODI # 3637
U.A.E.,West Indies,West Indies,6 wickets,Napier,15-Mar-15,ODI # 3638
Ireland,Pakistan,Pakistan,7 wickets,Adelaide,15-Mar-15,ODI # 3639
South Africa,Sri Lanka,South Africa,9 wickets,Sydney,18-Mar-15,ODI # 3640
Bangladesh,India,India,109 runs,Melbourne,19-Mar-15,ODI # 3641
Australia,Pakistan,Australia,6 wickets,Adelaide,20-Mar-15,ODI # 3642
New Zealand,West Indies,New Zealand,143 runs,Wellington,21-Mar-15,ODI # 3643
New Zealand,South Africa,New Zealand,4 wickets,Auckland,24-Mar-15,ODI # 3644
Australia,India,Australia,95 runs,Sydney,26-Mar-15,ODI # 3645
Australia,New Zealand,Australia,7 wickets,Melbourne,29-Mar-15,ODI # 3646
Bangladesh,Pakistan,Bangladesh,79 runs,Dhaka,17-Apr-15,ODI # 3647
Bangladesh,Pakistan,Bangladesh,7 wickets,Dhaka,19-Apr-15,ODI # 3648
Bangladesh,Pakistan,Bangladesh,8 wickets,Dhaka,22-Apr-15,ODI # 3649
Ireland,England,no result,,Dublin (Malahide),8-May-15,ODI # 3650
Pakistan,Zimbabwe,Pakistan,41 runs,Lahore,26-May-15,ODI # 3651
Pakistan,Zimbabwe,Pakistan,6 wickets,Lahore,29-May-15,ODI # 3652
Pakistan,Zimbabwe,no result,,Lahore,31-May-15,ODI # 3653
England,New Zealand,England,210 runs,Birmingham,9-Jun-15,ODI # 3654
England,New Zealand,New Zealand,13 runs,The Oval,12-Jun-15,ODI # 3655
England,New Zealand,New Zealand,3 wickets,Southampton,14-Jun-15,ODI # 3656
England,New Zealand,England,7 wickets,Nottingham,17-Jun-15,ODI # 3657
Bangladesh,India,Bangladesh,79 runs,Dhaka,18-Jun-15,ODI # 3658
England,New Zealand,England,3 wickets,Chester-le-Street,20-Jun-15,ODI # 3659
Bangladesh,India,Bangladesh,6 wickets,Dhaka,21-Jun-15,ODI # 3660
Bangladesh,India,India,77 runs,Dhaka,24-Jun-15,ODI # 3661
Zimbabwe,India,India,4 runs,Harare,10-Jul-15,ODI # 3662
Bangladesh,South Africa,South Africa,8 wickets,Dhaka,10-Jul-15,ODI # 3663
Sri Lanka,Pakistan,Pakistan,6 wickets,Dambulla,11-Jul-15,ODI # 3664
Zimbabwe,India,India,62 runs,Harare,12-Jul-15,ODI # 3665
Bangladesh,South Africa,Bangladesh,7 wickets,Dhaka,12-Jul-15,ODI # 3666
Zimbabwe,India,India,83 runs,Harare,14-Jul-15,ODI # 3667
Bangladesh,South Africa,Bangladesh,9 wickets,Chattogram,15-Jul-15,ODI # 3668
Sri Lanka,Pakistan,Sri Lanka,2 wickets,Pallekele,15-Jul-15,ODI # 3669
Sri Lanka,Pakistan,Pakistan,135 runs,Colombo (RPS),19-Jul-15,ODI # 3670
Sri Lanka,Pakistan,Pakistan,7 wickets,Colombo (RPS),22-Jul-15,ODI # 3671
Sri Lanka,Pakistan,Sri Lanka,165 runs,Hambantota,26-Jul-15,ODI # 3672
Zimbabwe,New Zealand,Zimbabwe,7 wickets,Harare,2-Aug-15,ODI # 3673
Zimbabwe,New Zealand,New Zealand,10 wickets,Harare,4-Aug-15,ODI # 3674
Zimbabwe,New Zealand,New Zealand,38 runs,Harare,7-Aug-15,ODI # 3675
South Africa,New Zealand,South Africa,20 runs,Centurion,19-Aug-15,ODI # 3676
South Africa,New Zealand,New Zealand,8 wickets,Potchefstroom,23-Aug-15,ODI # 3677
South Africa,New Zealand,South Africa,62 runs,Durban,26-Aug-15,ODI # 3678
Ireland,Australia,Australia,23 runs,Belfast,27-Aug-15,ODI # 3679
England,Australia,Australia,59 runs,Southampton,3-Sep-15,ODI # 3680
England,Australia,Australia,64 runs,Lord's,5-Sep-15,ODI # 3681
England,Australia,England,93 runs,Manchester,8-Sep-15,ODI # 3682
England,Australia,England,3 wickets,Leeds,11-Sep-15,ODI # 3683
England,Australia,Australia,8 wickets,Manchester,13-Sep-15,ODI # 3684
Zimbabwe,Pakistan,Pakistan,131 runs,Harare,1-Oct-15,ODI # 3685
Zimbabwe,Pakistan,Zimbabwe,5 runs,Harare,3-Oct-15,ODI # 3686
Zimbabwe,Pakistan,Pakistan,7 wickets,Harare,5-Oct-15,ODI # 3687
Zimbabwe,Ireland,Zimbabwe,2 wickets,Harare,9-Oct-15,ODI # 3688
India,South Africa,South Africa,5 runs,Kanpur,11-Oct-15,ODI # 3689
Zimbabwe,Ireland,Zimbabwe,5 wickets,Harare,11-Oct-15,ODI # 3690
Zimbabwe,Ireland,Ireland,2 wickets,Harare,13-Oct-15,ODI # 3691
India,South Africa,India,22 runs,Indore,14-Oct-15,ODI # 3692
Zimbabwe,Afghanistan,Zimbabwe,8 wickets,Bulawayo,16-Oct-15,ODI # 3693
Zimbabwe,Afghanistan,Afghanistan,58 runs,Bulawayo,18-Oct-15,ODI # 3694
India,South Africa,South Africa,18 runs,Rajkot,18-Oct-15,ODI # 3695
Zimbabwe,Afghanistan,Zimbabwe,6 wickets,Bulawayo,20-Oct-15,ODI # 3696
Zimbabwe,Afghanistan,Afghanistan,3 wickets,Bulawayo,22-Oct-15,ODI # 3697
India,South Africa,India,35 runs,Chennai,22-Oct-15,ODI # 3698
Zimbabwe,Afghanistan,Afghanistan,73 runs,Bulawayo,24-Oct-15,ODI # 3699
India,South Africa,South Africa,214 runs,Mumbai,25-Oct-15,ODI # 3700
Sri Lanka,West Indies,Sri Lanka,1 wicket,Colombo (RPS),1-Nov-15,ODI # 3701
Sri Lanka,West Indies,Sri Lanka,8 wickets,Colombo (RPS),4-Nov-15,ODI # 3702
Bangladesh,Zimbabwe,Bangladesh,145 runs,Dhaka,7-Nov-15,ODI # 3703
Sri Lanka,West Indies,Sri Lanka,19 runs,Pallekele,7-Nov-15,ODI # 3704
Bangladesh,Zimbabwe,Bangladesh,58 runs,Dhaka,9-Nov-15,ODI # 3705
Bangladesh,Zimbabwe,Bangladesh,61 runs,Dhaka,11-Nov-15,ODI # 3706
England,Pakistan,Pakistan,6 wickets,Abu Dhabi,11-Nov-15,ODI # 3707
England,Pakistan,England,95 runs,Abu Dhabi,13-Nov-15,ODI # 3708
U.A.E.,Hong Kong,Hong Kong,89 runs,ICCA Dubai,16-Nov-15,ODI # 3709
England,Pakistan,England,6 wickets,Sharjah,17-Nov-15,ODI # 3710
U.A.E.,Hong Kong,Hong Kong,136 runs,ICCA Dubai,18-Nov-15,ODI # 3711
England,Pakistan,England,84 runs,Dubai (DSC),20-Nov-15,ODI # 3712
Afghanistan,Zimbabwe,Afghanistan,49 runs,Sharjah,25-Dec-15,ODI # 3713
New Zealand,Sri Lanka,New Zealand,7 wickets,Christchurch,26-Dec-15,ODI # 3714
New Zealand,Sri Lanka,New Zealand,10 wickets,Christchurch,28-Dec-15,ODI # 3715
Afghanistan,Zimbabwe,Afghanistan,4 wickets,Sharjah,29-Dec-15,ODI # 3716
New Zealand,Sri Lanka,Sri Lanka,8 wickets,Nelson,31-Dec-15,ODI # 3717
